food_key,mood,reason
chicken_drumstick_cooked,fatigue,Protein and moderate fat content supports energy and satiety
chicken_drumstick_cooked,sadness,Warm satisfying protein option suitable as a comforting meal
ground_turkey_93_lean,focus,Lean protein source supporting steady energy and concentration
ground_turkey_93_lean,stress,Low-fat high-protein option supporting a balanced nutritional routine
tuna_canned,focus,Lean high-protein fish supporting sustained energy and concentration
tuna_canned,fatigue,High-protein low-fat food supporting muscle recovery and energy
tuna_canned,stress,Light protein-rich option supporting a balanced meal routine
haddock_raw,focus,Lean white fish with high protein content supporting sustained energy
haddock_raw,stress,Low-calorie protein source suitable for a light balanced meal
pollock_raw,focus,Lean protein-rich fish supporting steady energy and mental clarity
pollock_raw,stress,Very low-calorie high-protein option for a light balanced routine
beef_tenderloin_roasted,fatigue,High-protein lean beef supporting energy recovery and satiety
beef_tenderloin_roasted,focus,Complete protein source supporting sustained energy during demanding tasks
beef_eye_round_raw,fatigue,Lean beef cut providing protein support for energy and recovery
beef_top_round_raw,fatigue,Lean protein-rich beef supporting energy and physical recovery
beef_top_loin_steak,sadness,Satisfying protein-rich meal option offering comfort and substance
tbone_steak_grilled,sadness,Hearty satisfying grilled protein offering comfort in moderate portions
almonds_dry_roasted,focus,Healthy fats and protein support sustained energy and concentration
almonds_dry_roasted,stress,Balanced snack with protein and healthy fats for a satisfying routine
sunflower_seeds,focus,Protein and healthy fat content supports steady energy and alertness
sunflower_seeds,stress,Nutrient-dense snack option supporting a balanced portable routine
peanut_butter,focus,Protein and healthy fat combination supports sustained concentration
peanut_butter,fatigue,Calorie-dense protein snack providing lasting energy support
peanut_butter,sadness,Creamy satisfying comfort snack with protein in moderate portions
hummus,stress,Balanced snack with plant protein and fiber supporting a light routine
hummus,focus,Plant protein and healthy fats support sustained energy and clarity
bean_pupusas,fatigue,Carbohydrate and protein combination provides steady filling energy
bean_pupusas,low_energy,Moderate carb and protein content offers a satisfying energy source
whole_wheat_bread,focus,Complex carbohydrates and fiber support steady energy and concentration
whole_wheat_bread,low_energy,Provides complex carbohydrates for sustained and gentle energy support
whole_wheat_bread,fatigue,Fiber-rich carbohydrate source supporting gradual energy release
white_bread,fatigue,Quick carbohydrate source providing fast energy in moderate portions
white_bread,low_energy,Accessible carbohydrate option for a quick energy lift
flour_whole_wheat,focus,Whole grain flour high in fiber and protein supporting steady energy
flour_whole_wheat,low_energy,Complex carbohydrate base ingredient supporting gradual energy release
flour_rice_brown,focus,Whole grain flour with fiber supporting balanced steady energy
flour_rice_brown,low_energy,Gluten-free complex carbohydrate supporting gentle energy replenishment
flour_corn_yellow,low_energy,Carbohydrate-rich flour providing an accessible energy source
deli_ham,focus,Lean protein source supporting sustained energy during tasks
deli_ham,fatigue,High-protein deli option supporting muscle energy and recovery
ham_restaurant,fatigue,Protein-rich option providing energy and satiety support
turkey_breakfast_sausage,focus,Lean protein source supporting steady energy and concentration
turkey_breakfast_sausage,stress,Lower-fat sausage option providing protein in a balanced morning routine
marinara_sauce,stress,Light tomato-based sauce suitable for balanced lighter meals
salsa,stress,Very low-calorie light condiment suitable for a balanced meal pairing
fried_rice_chinese,fatigue,Carbohydrate-rich dish providing energy and moderate satiety
fried_rice_chinese,low_energy,Moderate carbohydrate meal offering accessible energy replenishment
pork_tamale,fatigue,Balanced carbohydrate and protein combination for moderate energy support
pork_tamale,sadness,Traditional comforting meal option offering warmth and satisfaction
green_olives,stress,Moderate-portion snack with healthy fats suitable for a balanced routine
green_olives,focus,Healthy fat content supports steady energy and balanced nutrition
salmon_grilled,focus,Provides nutrients that may support steady focus as part of a balanced routine.
grilled_fish,focus,Provides nutrients that may support steady focus as part of a balanced routine.
tilapia_grilled,focus,Provides nutrients that may support steady focus as part of a balanced routine.
nuts_mixed,focus,Provides nutrients that may support steady focus as part of a balanced routine.
blueberries,focus,Provides nutrients that may support steady focus as part of a balanced routine.
coffee_black,focus,Provides nutrients that may support steady focus as part of a balanced routine.
oats_cooked,low_energy,Provides carbohydrates or protein that can support steady energy.
banana,low_energy,Provides carbohydrates or protein that can support steady energy.
rice_white_cooked,low_energy,Provides carbohydrates or protein that can support steady energy.
pasta_cooked,low_energy,Provides carbohydrates or protein that can support steady energy.
lentils_cooked,low_energy,Provides carbohydrates or protein that can support steady energy.
greek_yogurt_plain,fatigue,Provides protein and/or fiber that can support fullness and energy stability.
lentils_cooked,fatigue,Provides protein and/or fiber that can support fullness and energy stability.
chickpeas_cooked,fatigue,Provides protein and/or fiber that can support fullness and energy stability.
foul_medames,fatigue,Provides protein and/or fiber that can support fullness and energy stability.
tea_unsweetened,stress,"A lighter option that can fit into a calm, balanced eating routine."
mixed_salad,stress,"A lighter option that can fit into a calm, balanced eating routine."
dark_chocolate,sadness,Can provide a small enjoyable sweet option while keeping portions mindful.
strawberries,sadness,Can provide a small enjoyable sweet option while keeping portions mindful.
dates,sadness,Can provide a small enjoyable sweet option while keeping portions mindful.
