food_key,condition_key,risk_level,reason
bacon_cooked,hypertension,BLOCKED,Very high sodium content (1830mg/100g) is not suitable for sodium-restricted diets
parmesan_cheese,hypertension,BLOCKED,Very high sodium content (1750mg/100g) requires avoidance for sodium management
queso_seco,hypertension,BLOCKED,Very high sodium content (1810mg/100g) is not suitable for sodium-restricted diets
american_cheese_restaurant,hypertension,BLOCKED,Very high sodium content (1600mg/100g) requires avoidance for sodium management
american_cheese,hypertension,BLOCKED,Very high sodium content (1660mg/100g) is not suitable for sodium-restricted diets
egg_white_dried,hypertension,BLOCKED,Very high sodium content (1250mg/100g) in concentrated form; not suitable for sodium restriction
yellow_mustard,hypertension,BLOCKED,Very high sodium content (1100mg/100g) warrants avoidance in sodium-restricted diets
deli_ham,hypertension,BLOCKED,High sodium content (1040mg/100g) typical of cured deli meats
ham_restaurant,hypertension,BLOCKED,High sodium content (1030mg/100g); not suitable for sodium-restricted diets
green_olives,hypertension,BLOCKED,Very high sodium content (1620mg/100g) from brining process
beef_hot_dog,hypertension,BLOCKED,High sodium content (872mg/100g) typical of processed meat products
beef_breakfast_sausage,hypertension,BLOCKED,High sodium content (866mg/100g) typical of processed breakfast meats
dill_pickles,hypertension,BLOCKED,Very high sodium content (808mg/100g) from brining process
chorizo_pork,hypertension,WARNING,High sodium content (983mg/100g); frequent consumption not advisable
italian_pork_sausage,hypertension,WARNING,High sodium content (766mg/100g) typical of cured pork products
white_bread,hypertension,WARNING,Moderate sodium content (477mg/100g) contributes to daily sodium intake
whole_wheat_bread,hypertension,WARNING,Moderate sodium content (450mg/100g); portion awareness advised
marinara_sauce,hypertension,WARNING,Moderate sodium content (419mg/100g) from commercial preparation
onion_rings_baked,hypertension,WARNING,Moderate sodium content (374mg/100g) from commercial processing
pollock_raw,hypertension,WARNING,Moderate sodium content (333mg/100g); rinse before cooking if concerned
cottage_cheese_lowfat,hypertension,WARNING,Moderate sodium content (321mg/100g); low-sodium varieties preferred
mozzarella_cheese,hypertension,WARNING,Moderate sodium content (699mg/100g); fresh low-sodium mozzarella preferred
cheddar_cheese,hypertension,WARNING,Moderate sodium content (654mg/100g); portion control advised
salsa,hypertension,WARNING,Moderate sodium content (656mg/100g) from commercial preparation
sunflower_seeds,hypertension,WARNING,Moderate sodium content (532mg/100g) from dry roasting with salt
ketchup,hypertension,WARNING,Moderate sodium content (949mg/100g) in typical condiment use
turkey_breakfast_sausage,hypertension,WARNING,Moderate sodium content (599mg/100g); leaner but still processed
pork_tamale,hypertension,WARNING,Moderate sodium content (473mg/100g); traditional preparation varies
peanut_butter,hypertension,WARNING,Moderate sodium content (429mg/100g); unsalted varieties recommended
almonds_dry_roasted,hypertension,WARNING,Moderate sodium content (256mg/100g) from added salt; unsalted varieties preferred
white_bread,celiac_disease,BLOCKED,Contains gluten (wheat); not safe for celiac disease
whole_wheat_bread,celiac_disease,BLOCKED,Contains gluten (whole wheat); not safe for celiac disease
flour_ap_bleached,celiac_disease,BLOCKED,Contains gluten (wheat flour); not safe for celiac disease
flour_ap_unbleached,celiac_disease,BLOCKED,Contains gluten (wheat flour); not safe for celiac disease
flour_ap_unenriched,celiac_disease,BLOCKED,Contains gluten (wheat flour); not safe for celiac disease
flour_whole_wheat,celiac_disease,BLOCKED,Contains gluten (whole wheat flour); not safe for celiac disease
flour_bread_white,celiac_disease,BLOCKED,Contains gluten (bread flour); not safe for celiac disease
flour_pastry,celiac_disease,BLOCKED,Contains gluten (pastry flour); not safe for celiac disease
oatmeal_raisin_cookies,celiac_disease,BLOCKED,Contains gluten (wheat-based); not safe for celiac disease
onion_rings_baked,celiac_disease,BLOCKED,Breaded with wheat flour; not safe for celiac disease
beef_hot_dog,celiac_disease,WARNING,May contain wheat-based fillers; check label for gluten-free certification
beef_breakfast_sausage,celiac_disease,WARNING,Processed meats may contain gluten-based fillers; verify label
italian_pork_sausage,celiac_disease,WARNING,May contain gluten-based fillers or seasonings; verify label
chorizo_pork,celiac_disease,WARNING,Some chorizo preparations include gluten-containing ingredients; verify label
fried_rice_chinese,celiac_disease,WARNING,Typically prepared with soy sauce containing wheat; not suitable without verified GF soy sauce
sweet_sour_pork,celiac_disease,WARNING,Battered preparation likely contains wheat; not suitable without verified GF preparation
ketchup,celiac_disease,WARNING,Some commercial ketchup formulations contain wheat-based thickeners; verify label
marinara_sauce,celiac_disease,WARNING,Some commercial pasta sauces contain wheat-based thickeners; verify label
pork_tamale,celiac_disease,WARNING,Traditional masa is corn-based but cross-contamination risk exists; verify preparation
deli_ham,celiac_disease,WARNING,Processed deli meats may contain gluten-based additives; verify label
milk_whole,lactose_intolerance,BLOCKED,Contains lactose; not suitable for lactose intolerance
milk_2_percent,lactose_intolerance,BLOCKED,Contains lactose; not suitable for lactose intolerance
milk_1_percent,lactose_intolerance,BLOCKED,Contains lactose; not suitable for lactose intolerance
milk_skim,lactose_intolerance,BLOCKED,Contains lactose; not suitable for lactose intolerance
ricotta_cheese,lactose_intolerance,BLOCKED,Fresh cheese with significant lactose content; not suitable for lactose intolerance
cottage_cheese_lowfat,lactose_intolerance,BLOCKED,Contains lactose; not suitable for lactose intolerance
greek_yogurt_plain,lactose_intolerance,WARNING,Lower lactose content due to fermentation; individual tolerance varies
greek_yogurt_strawberry,lactose_intolerance,WARNING,Lower lactose content due to fermentation; individual tolerance varies
cheddar_cheese,lactose_intolerance,WARNING,Aged cheeses have reduced lactose; individual tolerance varies
swiss_cheese,lactose_intolerance,WARNING,Aged cheese with reduced lactose content; individual tolerance varies
parmesan_cheese,lactose_intolerance,WARNING,Aged hard cheese with very low lactose; individual tolerance varies
mozzarella_cheese,lactose_intolerance,WARNING,Contains moderate lactose; individual tolerance varies
american_cheese,lactose_intolerance,WARNING,Processed cheese product; contains lactose
american_cheese_restaurant,lactose_intolerance,WARNING,Contains dairy-derived lactose; individual tolerance varies
queso_seco,lactose_intolerance,WARNING,Dry aged cheese with reduced lactose; individual tolerance varies
egg_yolk_dried,high_cholesterol,BLOCKED,Very high fat (55.5g/100g) and cholesterol concentration; not suitable for cholesterol management
egg_yolk_raw,high_cholesterol,WARNING,High cholesterol content; consume in moderation as part of a balanced diet
large_egg_yolk,high_cholesterol,WARNING,High cholesterol content; moderate consumption advised
egg_whole_dried,high_cholesterol,WARNING,Concentrated fat and cholesterol content (39.8g/100g fat); portion awareness needed
bacon_cooked,high_cholesterol,BLOCKED,Very high saturated fat (36.5g/100g) and sodium; not suitable for cholesterol management
coconut_oil,high_cholesterol,BLOCKED,Very high saturated fat content (99.1g/100g); not suitable for cholesterol management
cheddar_cheese,high_cholesterol,WARNING,High saturated fat content (34g/100g); moderate portions advised
swiss_cheese,high_cholesterol,WARNING,High fat content (31g/100g); moderate portions advised
american_cheese,high_cholesterol,WARNING,High saturated fat content (30.6g/100g); moderate portions advised
american_cheese_restaurant,high_cholesterol,WARNING,High saturated fat content (31.1g/100g); moderate portions advised
parmesan_cheese,high_cholesterol,WARNING,High fat content (28g/100g); use as a flavor accent in small amounts
mozzarella_cheese,high_cholesterol,WARNING,Moderate to high fat content (20.4g/100g); part-skim is preferred over full-fat
queso_seco,high_cholesterol,WARNING,High fat content (24.3g/100g); moderate portions advised
peanut_butter,high_cholesterol,WARNING,High fat content (51.1g/100g) though predominantly unsaturated; portion control advised
chorizo_pork,high_cholesterol,WARNING,High saturated fat content (28.1g/100g); not suitable for frequent consumption
italian_pork_sausage,high_cholesterol,WARNING,High fat content (26.2g/100g); moderate consumption advised
beef_hot_dog,high_cholesterol,WARNING,High fat content (28g/100g) in a processed meat product; limit consumption
beef_breakfast_sausage,high_cholesterol,WARNING,High fat content (28.7g/100g); limit for cholesterol management
milk_whole,high_cholesterol,WARNING,Higher saturated fat than reduced-fat options; lower-fat dairy alternatives preferred
egg_whole_raw,high_cholesterol,WARNING,Contains dietary cholesterol; moderate consumption within a balanced diet is generally acceptable
large_egg_whole,high_cholesterol,WARNING,Contains dietary cholesterol; consult dietary guidance for appropriate frequency
ricotta_cheese,high_cholesterol,WARNING,Moderate fat content (11g/100g); part-skim varieties are preferred
tbone_steak_grilled,high_cholesterol,WARNING,Moderate fat content (11.4g/100g); lean cuts are preferred for cholesterol management
almonds_dry_roasted,high_cholesterol,WARNING,High fat (57.8g/100g) though mainly heart-healthy unsaturated fat; moderate portions fine
sunflower_seeds,high_cholesterol,WARNING,High fat (56.1g/100g) though predominantly unsaturated; moderate portions advised
egg_white_dried,kidney_disease,BLOCKED,Extremely high protein concentration (79.9g/100g); not suitable for protein-restricted kidney diets
flour_soy_defatted,kidney_disease,BLOCKED,Very high protein content (51.1g/100g) and phosphorus; not suitable for kidney-restricted diets
flour_soy_full_fat,kidney_disease,WARNING,High protein and phosphorus content; consult a dietitian for kidney diet guidance
chicken_breast_cooked,kidney_disease,WARNING,High protein content (32.1g/100g); portion sizes should align with individual kidney diet limits
ground_turkey_93_lean,kidney_disease,WARNING,High protein content (27.1g/100g); portion sizes should align with kidney diet guidelines
tuna_canned,kidney_disease,WARNING,High protein and phosphorus content; portion control required for kidney diets
haddock_raw,kidney_disease,WARNING,High protein and phosphorus content; consult dietitian for appropriate portions
pollock_raw,kidney_disease,WARNING,High protein content; portion sizes should be managed within kidney diet limits
beef_tenderloin_roasted,kidney_disease,WARNING,High protein content (27.7g/100g); align portions with kidney diet protein limits
bacon_cooked,kidney_disease,BLOCKED,Extremely high sodium (1830mg/100g) and phosphorus; not suitable for kidney-restricted diets
parmesan_cheese,kidney_disease,BLOCKED,Very high sodium (1750mg/100g) and phosphorus content; not suitable for kidney diets
queso_seco,kidney_disease,BLOCKED,Very high sodium (1810mg/100g); not suitable for kidney-restricted diets
green_olives,kidney_disease,BLOCKED,Very high sodium (1620mg/100g) from brining; not suitable for kidney-restricted diets
american_cheese,kidney_disease,BLOCKED,Very high sodium (1660mg/100g) and phosphorus; not suitable for kidney diets
american_cheese_restaurant,kidney_disease,BLOCKED,Very high sodium (1600mg/100g) and phosphorus; not suitable for kidney diets
deli_ham,kidney_disease,BLOCKED,High sodium (1040mg/100g) and phosphorus additives common in processed meats
ham_restaurant,kidney_disease,BLOCKED,High sodium (1030mg/100g); not suitable for sodium-restricted kidney diets
banana_ripe,kidney_disease,WARNING,Moderate to high potassium content; kidney disease patients may need to limit potassium intake
banana_overripe,kidney_disease,WARNING,Higher potassium content as banana ripens; potassium management is important for kidney health
oranges_raw,kidney_disease,WARNING,Moderate potassium content; kidney diet guidelines may limit citrus fruit portions
pears_raw,kidney_disease,WARNING,Moderate potassium content; review with a renal dietitian for appropriate portions
figs_dried,kidney_disease,BLOCKED,Very high potassium and natural sugar concentration in dried form; not suitable for kidney diets
tuna_canned,gout,WARNING,Moderate to high purine content in fish; frequent consumption may be a concern for gout management
haddock_raw,gout,WARNING,Moderate purine content in white fish; limit frequency for gout management
pollock_raw,gout,WARNING,Moderate purine content; moderate consumption within gout dietary guidelines
beef_top_loin_steak,gout,WARNING,Red meat contains moderate to high purines; limit portion frequency for gout management
beef_tenderloin_roasted,gout,WARNING,Red meat with moderate purine content; limit frequency for gout management
beef_eye_round_raw,gout,WARNING,Red meat with moderate purine content; gout dietary guidelines suggest limiting red meat
beef_top_round_raw,gout,WARNING,Red meat with moderate purine content; limit frequency in gout management
tbone_steak_grilled,gout,WARNING,Red meat with moderate to high purines; limit consumption frequency for gout management
porterhouse_steak,gout,WARNING,Red meat with moderate to high purines; limit for gout management
chorizo_pork,gout,WARNING,Processed pork product with moderate purine content; limit for gout management
italian_pork_sausage,gout,WARNING,Pork-based sausage with moderate purines; limit frequency for gout management
bacon_cooked,gout,WARNING,Processed pork with moderate purine content; limit in gout dietary plans
beef_hot_dog,gout,WARNING,Processed meat product; moderate purine content warrants limiting in gout diets
coconut_oil,obesity,WARNING,Very high caloric density (833 kcal/100g); use sparingly in weight-managed diets
egg_yolk_dried,obesity,WARNING,Very high caloric density (654 kcal/100g); concentrated form requires careful portion control
almonds_dry_roasted,obesity,WARNING,High caloric density (620 kcal/100g); nutritious but portion control is important for weight management
sunflower_seeds,obesity,WARNING,High caloric density (612 kcal/100g); limit portions in calorie-managed plans
peanut_butter,obesity,WARNING,High caloric density (597 kcal/100g); nutritious in moderation but portion control is essential
egg_whole_dried,obesity,WARNING,High caloric density (575 kcal/100g) in concentrated form; use carefully
bacon_cooked,obesity,WARNING,High caloric density (500 kcal/100g) with high saturated fat; limit in weight-managed diets
oatmeal_raisin_cookies,obesity,WARNING,High caloric density (430 kcal/100g) with high sugar; limit in weight-managed plans
granulated_sugar,obesity,WARNING,Provides calories with no nutritional benefit; minimize in weight-managed diets
parmesan_cheese,obesity,WARNING,High caloric density (421 kcal/100g); use as a flavor accent in small amounts
cheddar_cheese,obesity,WARNING,High caloric density (408 kcal/100g); portion control is important
chorizo_pork,obesity,WARNING,High caloric density (346 kcal/100g) with high fat; limit in weight-managed diets
beef_breakfast_sausage,obesity,WARNING,High caloric density (328 kcal/100g) and fat; limit in weight-managed diets
italian_pork_sausage,obesity,WARNING,High caloric density (322 kcal/100g); limit in weight-managed plans
beef_hot_dog,obesity,WARNING,High caloric density (314 kcal/100g) processed meat; limit in weight-managed diets
figs_dried,obesity,WARNING,High caloric density from sugar concentration (249 kcal/100g); limit portions in calorie-managed plans
ketchup,obesity,WARNING,High sugar content (21.8g/100g) adds hidden calories; use sparingly
cola_regular,diabetes_type_2,BLOCKED,Sugary drinks or juices may raise blood sugar quickly.
cola_regular,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
energy_drink,diabetes_type_2,BLOCKED,Sugary drinks or juices may raise blood sugar quickly.
energy_drink,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
sports_drink,diabetes_type_2,WARNING,Sugary drinks or juices may raise blood sugar quickly.
sports_drink,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
lemonade,diabetes_type_2,WARNING,Sugary drinks or juices may raise blood sugar quickly.
lemonade,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
orange_juice,diabetes_type_2,WARNING,Sugary drinks or juices may raise blood sugar quickly.
orange_juice,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
apple_juice,diabetes_type_2,WARNING,Sugary drinks or juices may raise blood sugar quickly.
apple_juice,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
tea_sweetened,diabetes_type_2,WARNING,Sugary drinks or juices may raise blood sugar quickly.
tea_sweetened,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
smoothie_fruit,diabetes_type_2,WARNING,Sugary drinks or juices may raise blood sugar quickly.
smoothie_fruit,obesity,WARNING,Sugary drinks can increase daily calorie intake without much fullness.
chocolate_bar,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
chocolate_bar,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
cookies_chocolate_chip,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
cookies_chocolate_chip,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
cake_chocolate,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
cake_chocolate,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
ice_cream_vanilla,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
ice_cream_vanilla,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
donut_glazed,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
donut_glazed,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
candy_gummy,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
candy_gummy,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
basbousa,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
basbousa,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
kunafa,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
kunafa,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
rice_pudding,diabetes_type_2,WARNING,Desserts can be high in sugar and require careful portion control.
rice_pudding,obesity,WARNING,Desserts can add calories quickly and should be limited in portion size.
french_fries,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
french_fries,obesity,WARNING,Fried foods can increase total calorie intake.
potato_chips,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
potato_chips,obesity,WARNING,Fried foods can increase total calorie intake.
chicken_fried,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
chicken_fried,obesity,WARNING,Fried foods can increase total calorie intake.
fried_chicken_piece,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
fried_chicken_piece,obesity,WARNING,Fried foods can increase total calorie intake.
fish_fried,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
fish_fried,obesity,WARNING,Fried foods can increase total calorie intake.
chicken_nuggets,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
chicken_nuggets,obesity,WARNING,Fried foods can increase total calorie intake.
onion_rings_baked,high_cholesterol,WARNING,Fried foods can be high in fat depending on preparation.
onion_rings_baked,obesity,WARNING,Fried foods can increase total calorie intake.
pizza_slice,hypertension,WARNING,This food can be high in sodium depending on preparation.
burger_beef,hypertension,WARNING,This food can be high in sodium depending on preparation.
beef_burger,hypertension,WARNING,This food can be high in sodium depending on preparation.
chicken_shawarma,hypertension,WARNING,This food can be high in sodium depending on preparation.
shawarma_chicken,hypertension,WARNING,This food can be high in sodium depending on preparation.
hot_dog,hypertension,WARNING,This food can be high in sodium depending on preparation.
sausage_beef,hypertension,WARNING,This food can be high in sodium depending on preparation.
turkey_slices,hypertension,WARNING,This food can be high in sodium depending on preparation.
sandwich_turkey,hypertension,WARNING,This food can be high in sodium depending on preparation.
sandwich_cheese,hypertension,WARNING,This food can be high in sodium depending on preparation.
potato_chips,hypertension,WARNING,This food can be high in sodium depending on preparation.
french_fries,hypertension,WARNING,This food can be high in sodium depending on preparation.
kebab_grilled,hypertension,WARNING,This food can be high in sodium depending on preparation.
kofta_grilled,hypertension,WARNING,This food can be high in sodium depending on preparation.
hawawshi,hypertension,WARNING,This food can be high in sodium depending on preparation.
rice_white_cooked,diabetes_type_2,WARNING,Portions of refined or starchy carbohydrates can raise blood sugar.
pasta_cooked,diabetes_type_2,WARNING,Portions of refined or starchy carbohydrates can raise blood sugar.
bread_white,diabetes_type_2,WARNING,Portions of refined or starchy carbohydrates can raise blood sugar.
cereal_cornflakes,diabetes_type_2,WARNING,Portions of refined or starchy carbohydrates can raise blood sugar.
pizza_slice,diabetes_type_2,WARNING,Portions of refined or starchy carbohydrates can raise blood sugar.
koshari,diabetes_type_2,WARNING,Portions of refined or starchy carbohydrates can raise blood sugar.
bread_white,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
bread_whole_wheat,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
pizza_slice,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
pasta_cooked,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
spaghetti_tomato_sauce,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
tortilla_wrap,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
pita_bread,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
cereal_cornflakes,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
pasta_alfredo,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
lasagna,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
sandwich_turkey,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
sandwich_cheese,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
cake_chocolate,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
cookies_chocolate_chip,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
donut_glazed,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
baladi_bread,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
hawawshi,celiac_disease,BLOCKED,Contains wheat/gluten and is not suitable for celiac disease.
yogurt_fruit,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
cream_cheese,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
feta_cheese,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
labneh,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
ice_cream_vanilla,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
coffee_milk_sugar,lactose_intolerance,WARNING,Dairy foods may cause symptoms for lactose intolerance depending on tolerance.
sardines_canned,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
shrimp_cooked,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
calamari_fried,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
sausage_beef,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
hot_dog,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
deli_ham,gout,WARNING,This food may be higher in purines or processed meat and should be limited for gout-sensitive diets.
cola_regular,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
energy_drink,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
hot_dog,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
sausage_beef,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
potato_chips,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
french_fries,kidney_disease,WARNING,"This food may be high in sodium, additives, or phosphorus-sensitive ingredients."
burger_beef,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
beef_burger,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
sausage_beef,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
hot_dog,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
pizza_slice,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
pasta_alfredo,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
ice_cream_vanilla,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
cream_cheese,high_cholesterol,WARNING,This food can contain higher saturated fat depending on preparation.
chicken_shawarma,obesity,WARNING,Shawarma can be calorie-dense depending on sauces and portion size.
pizza_slice,obesity,WARNING,Pizza can be calorie-dense depending on portion size.
