original_food_key,alternative_food_key,reason
french_fries,sweet_potato_baked,Baked sweet potato is a filling option with fiber.
fried_chicken_piece,chicken_breast_grilled,Grilled chicken breast is a leaner choice than fried chicken.
fried_rice_chinese,bean_pupusas,"Bean pupusas provide fiber-containing legumes, but portions should still be considered."
granulated_sugar,apple_granny_smith,Apple can add natural sweetness with fiber instead of refined sugar.
granulated_sugar,kiwi_raw,Kiwi provides natural sweetness with fiber and micronutrients.
granulated_sugar,strawberries_raw,Strawberries provide natural sweetness with fiber and less concentrated sugar.
greek_yogurt_strawberry,greek_yogurt_plain,Plain nonfat Greek yogurt has less added sweetness than strawberry yogurt.
green_olives,tomatoes_grape,Grape tomatoes are a lower-sodium snack option than stuffed olives.
ham_restaurant,chicken_breast_cooked,Chicken breast is a leaner and lower-sodium protein option.
hawawshi,sandwich_turkey,Turkey sandwich can be a lighter sandwich option.
hot_dog,chicken_breast_grilled,Grilled chicken breast is a leaner protein option.
ice_cream_vanilla,greek_yogurt_plain,Plain Greek yogurt can be a higher-protein lighter option.
italian_pork_sausage,chicken_breast_cooked,Chicken breast is a leaner protein option than pork sausage.
italian_pork_sausage,ground_turkey_93_lean,Lean ground turkey can reduce saturated fat compared with pork sausage.
ketchup,diced_tomatoes_canned,Diced tomatoes offer tomato flavor with less sugar than ketchup.
ketchup,tomatoes_grape,Fresh tomatoes are a lighter tomato option than ketchup.
kunafa,strawberries,Strawberries are a lighter sweet option.
lemonade,water,Water avoids added sugar compared with lemonade.
macaroni_bechamel,spaghetti_tomato_sauce,Spaghetti with tomato sauce can be a lighter option than a creamy béchamel-based pasta dish.
marinara_sauce,diced_tomatoes_canned,Diced tomatoes can be used as a simpler sauce base with less sodium.
milk_1_percent,milk_skim,Skim milk is the lowest-fat milk option in the current database.
milk_2_percent,milk_1_percent,One percent milk provides a lighter option than two percent milk.
milk_whole,milk_1_percent,Low-fat milk can reduce total fat intake compared with whole milk.
milk_whole,milk_2_percent,Reduced-fat milk lowers fat while keeping a similar dairy profile.
oatmeal_raisin_cookies,apple_honeycrisp,Apple is a lighter sweet option with natural fiber.
oatmeal_raisin_cookies,oranges_raw,Orange is a lighter sweet option with hydration and fiber.
oatmeal_raisin_cookies,strawberries_raw,Strawberries are a lighter sweet option than cookies.
onion_rings_baked,broccoli_raw,Broccoli is a lighter vegetable option than onion rings.
onion_rings_baked,carrots_frozen,Carrots offer a vegetable side with less fat than onion rings.
orange_juice,orange,Whole orange provides fiber compared with juice.
parmesan_cheese,swiss_cheese,Swiss cheese is a lower-sodium cheese option in the current database.
pasta_alfredo,spaghetti_tomato_sauce,Tomato-based pasta is often lighter than creamy pasta.
peanut_butter,hummus,Hummus can be a savory spread option with legumes and less fat density per 100g.
pizza_slice,mixed_salad,Mixed salad is a lighter side option with vegetables.
popcorn_butter,popcorn_plain,Plain popcorn reduces added fat compared with butter popcorn.
pork_tamale,bean_pupusas,Bean pupusas provide more legume-based fiber than pork tamales in the current database.
porterhouse_steak,beef_eye_round_raw,Eye of round is a leaner beef cut in the current database.
potato_chips,carrots_raw,Carrots provide crunch with less fat and sodium than chips.
potato_chips,popcorn_plain,Plain popcorn can provide crunch with less fat than chips.
queso_seco,mozzarella_cheese,Part-skim mozzarella is a less salty cheese option than dry white cheese.
ricotta_cheese,cottage_cheese_lowfat,Low-fat cottage cheese is a lighter dairy option than whole-milk ricotta.
salsa,diced_tomatoes_canned,Diced tomatoes can be a lower-sodium base compared with salsa.
sausage_beef,turkey_slices,Turkey slices can be a leaner processed-meat option.
sports_drink,water,Water is usually enough for regular hydration without added sugar.
sweet_sour_pork,chicken_breast_cooked,Chicken breast is a leaner protein option than sweet and sour pork.
tbone_steak_grilled,beef_tenderloin_roasted,Beef tenderloin is a leaner steak option in the current database.
tea_sweetened,tea_unsweetened,Unsweetened tea avoids added sugar.
yellow_mustard,garlic_raw,Garlic can add flavor without relying on a salty condiment.
