alias,food_key,language,source
شاي,tea_unsweetened,ar,manual
شاي بسكر,tea_sweetened,ar,manual
شمام,cantaloupe_raw,ar,manual
شوربة العدس,lentil_soup,ar,manual
شوربة عدس,lentil_soup,ar,manual
شوربة فراخ,soup_chicken,ar,manual
شوفان,oats_cooked,ar,manual
شوكولاتة,chocolate_bar,ar,manual
شوكولاتة داكنة,dark_chocolate,ar,manual
شيبسي,potato_chips,ar,manual
صدر دجاج,chicken_breast_cooked,ar,manual
صدر فراخ مشوي,chicken_breast_grilled,ar,manual
صفار بيض,large_egg_yolk,ar,manual
طعمية,falafel_taameya,ar,manual
طماطم,tomatoes_grape,ar,manual
عدس,lentils_cooked,ar,manual
عصير برتقال,orange_juice,ar,manual
عصير تفاح,apple_juice,ar,manual
عنب,grapes,ar,manual
عيش أبيض,bread_white,ar,manual
عيش بلدي,baladi_bread,ar,manual
عيش سن,bread_whole_wheat,ar,manual
عيش شامي,pita_bread,ar,manual
فاصوليا حمراء,beans_kidney,ar,manual
فاصوليا سوداء,beans_black,ar,manual
فتة,fatta_egyptian,ar,manual
فتة مصرية,fatta_egyptian,ar,manual
فراخ بالرز,chicken_with_rice,ar,manual
فراخ مشوية,chicken_breast_grilled,ar,manual
فراخ مقلية,chicken_fried,ar,manual
فراولة,strawberries,ar,manual
فشار,popcorn_plain,ar,manual
فشار بالزبدة,popcorn_butter,ar,manual
فلافل,falafel,ar,manual
فول,foul_medames,ar,manual
فول سوداني,peanuts,ar,manual
فول مدمس,foul_medames,ar,manual
قطعة فراخ مقلية,fried_chicken_piece,ar,manual
قهوة,coffee_black,ar,manual
قهوة بلبن,coffee_milk_sugar,ar,manual
كباب,kebab_grilled,ar,manual
كباب لحم,beef_kebab,ar,manual
كبسة,kabsa_chicken,ar,manual
كبسة دجاج,kabsa_chicken,ar,manual
كبسة فراخ,kabsa_chicken,ar,manual
كرنب اجعد,kale_raw,ar,manual
كسكسي,couscous_cooked,ar,manual
كشري,koshari,ar,manual
كفتة,kofta_grilled,ar,manual
كفتة كرات,meatballs,ar,manual
كمثرى,pear,ar,manual
كنافة,kunafa,ar,manual
كورن فليكس,cereal_cornflakes,ar,manual
كوكاكولا,cola_regular,ar,manual
كولا,cola_regular,ar,manual
كيك شوكولاتة,cake_chocolate,ar,manual
كينوا,quinoa_cooked,ar,manual
كيوي,kiwi,ar,manual
لازانيا,lasagna,ar,manual
لبن قليل الدسم,milk_2_percent,ar,manual
لبنة,labneh,ar,manual
لحم بالرز,lamb_with_rice,ar,manual
لحم ضأن مشوي,lamb_chop_grilled,ar,manual
لحم ضاني مشوي,roasted_lamb,ar,manual
لحم مشوي,roasted_lamb,ar,manual
لحم مع رز,lamb_with_rice,ar,manual
لوز,almonds_dry_roasted,ar,manual
ليمونادة,lemonade,ar,manual
ماء,water,ar,manual
مانجو,mango,ar,manual
محشي,mahshi,ar,manual
مشروب رياضي,sports_drink,ar,manual
مشروب طاقة,energy_drink,ar,manual
مشروب غازي,cola_regular,ar,manual
مكرونة,pasta_cooked,ar,manual
مكرونة بشاميل,macaroni_bechamel,ar,manual
مكسرات,nuts_mixed,ar,manual
ملوخية,molokhia,ar,manual
مندي,mandi_chicken,ar,manual
مندي دجاج,mandi_chicken,ar,manual
مندي فراخ,mandi_chicken,ar,manual
موز,banana,ar,manual
موزة ضاني,lamb_shank_cooked,ar,manual
موزة لحم,lamb_shank_cooked,ar,manual
مياه,water,ar,manual
مياه غازية,sparkling_water,ar,manual
ناجتس,chicken_nuggets,ar,manual
هوت دوج,hot_dog,ar,manual
1 percent milk,milk_1_percent,en,manual
2 percent milk,milk_2_percent,en,manual
alfredo pasta,pasta_alfredo,en,manual
all purpose flour,flour_ap_unbleached,en,manual
all purpose flour bleached,flour_ap_bleached,en,auto_name
all purpose flour unbleached,flour_ap_unbleached,en,auto_name
all purpose flour unenriched,flour_ap_unenriched,en,auto_name
"all-purpose flour, bleached",flour_ap_bleached,en,generated_from_food_name
"all-purpose flour, unbleached",flour_ap_unbleached,en,generated_from_food_name
"all-purpose flour, unenriched",flour_ap_unenriched,en,generated_from_food_name
almond,almonds_dry_roasted,en,manual
almonds,almonds_dry_roasted,en,manual
almonds dry roasted,almonds_dry_roasted,en,generated_from_food_key
"almonds, dry roasted",almonds_dry_roasted,en,generated_from_food_name
american cheese,american_cheese,en,generated_from_food_key
american cheese (restaurant),american_cheese_restaurant,en,generated_from_food_name
american cheese processed,american_cheese,en,auto_name
american cheese restaurant,american_cheese_restaurant,en,generated_from_food_key
"american cheese, processed",american_cheese,en,generated_from_food_name
apple,apple,en,manual
apple fuji,apple_fuji,en,generated_from_food_key
apple gala,apple_gala,en,generated_from_food_key
apple granny smith,apple_granny_smith,en,generated_from_food_key
apple honeycrisp,apple_honeycrisp,en,generated_from_food_key
apple juice,apple_juice,en,manual
apple red delicious,apple_red_delicious,en,generated_from_food_key
"apple, fuji",apple_fuji,en,generated_from_food_name
"apple, gala",apple_gala,en,generated_from_food_name
"apple, granny smith",apple_granny_smith,en,generated_from_food_name
"apple, honeycrisp",apple_honeycrisp,en,generated_from_food_name
"apple, red delicious",apple_red_delicious,en,generated_from_food_name
avocado,avocado,en,manual
bacon,bacon_cooked,en,manual
bacon cooked,bacon_cooked,en,generated_from_food_key
"bacon, cooked",bacon_cooked,en,generated_from_food_name
baked cod,cod_baked,en,manual
baked fish,fish_baked,en,manual
baked potato,potato_baked,en,manual
baked sweet potato,sweet_potato_baked,en,manual
baladi bread,baladi_bread,en,manual
banana,banana,en,manual
banana overripe,banana_overripe,en,generated_from_food_key
banana ripe,banana_ripe,en,generated_from_food_key
"banana, overripe",banana_overripe,en,generated_from_food_name
"banana, ripe",banana_ripe,en,generated_from_food_name
basbousa,basbousa,en,manual
bean pupusa,bean_pupusas,en,manual
bean pupusas,bean_pupusas,en,generated_from_food_key
bean pupusas (latino),bean_pupusas,en,generated_from_food_name
bean pupusas latino,bean_pupusas,en,auto_name
beans black,beans_black,en,generated_from_food_key
beans kidney,beans_kidney,en,generated_from_food_key
bechamel pasta,macaroni_bechamel,en,manual
beef breakfast sausage,beef_breakfast_sausage,en,generated_from_food_name
beef burger,burger_beef,en,manual
beef burger sandwich,burger_beef,en,manual
beef eye of round roast,beef_eye_round_raw,en,auto_simplified
beef eye of round roast raw,beef_eye_round_raw,en,auto_name
"beef eye of round roast, raw",beef_eye_round_raw,en,generated_from_food_name
beef eye round raw,beef_eye_round_raw,en,generated_from_food_key
beef hot dog,beef_hot_dog,en,generated_from_food_name
beef kebab,beef_kebab,en,manual
beef sausage,sausage_beef,en,manual
beef steak grilled,beef_steak_grilled,en,generated_from_food_key
beef tenderloin,beef_tenderloin_roasted,en,auto_simplified
beef tenderloin roasted,beef_tenderloin_roasted,en,generated_from_food_key
"beef tenderloin, roasted",beef_tenderloin_roasted,en,generated_from_food_name
beef top loin steak,beef_top_loin_steak,en,generated_from_food_key
beef top loin steak raw,beef_top_loin_steak,en,auto_name
"beef top loin steak, raw",beef_top_loin_steak,en,generated_from_food_name
beef top round raw,beef_top_round_raw,en,generated_from_food_key
beef top round roast,beef_top_round_raw,en,auto_simplified
beef top round roast raw,beef_top_round_raw,en,auto_name
"beef top round roast, raw",beef_top_round_raw,en,generated_from_food_name
biryani,biryani_chicken,en,manual
biryani chicken,biryani_chicken,en,generated_from_food_key
black beans,beans_black,en,manual
black coffee,coffee_black,en,manual
blueberries,blueberries,en,manual
blueberry,blueberries,en,manual
boiled egg,boiled_egg,en,manual
bread,bread_white,en,manual
bread flour white,flour_bread_white,en,auto_name
"bread flour, white",flour_bread_white,en,generated_from_food_name
bread white,bread_white,en,generated_from_food_key
bread whole wheat,bread_whole_wheat,en,generated_from_food_key
broccoli,broccoli_raw,en,manual
broccoli raw,broccoli_raw,en,generated_from_food_key
broccoli steamed,broccoli_steamed,en,generated_from_food_key
"broccoli, raw",broccoli_raw,en,generated_from_food_name
brown bread,bread_whole_wheat,en,manual
brown rice,rice_brown_cooked,en,manual
brown rice flour,flour_rice_brown,en,generated_from_food_name
burger,burger_beef,en,manual
burger beef,burger_beef,en,generated_from_food_key
butter popcorn,popcorn_butter,en,manual
cake,cake_chocolate,en,manual
cake chocolate,cake_chocolate,en,generated_from_food_key
calamari,calamari_fried,en,manual
calamari fried,calamari_fried,en,generated_from_food_key
candy,candy_gummy,en,manual
candy gummy,candy_gummy,en,generated_from_food_key
canned sardines,sardines_canned,en,manual
canned tuna,tuna_canned,en,manual
cantaloupe,cantaloupe_raw,en,manual
cantaloupe raw,cantaloupe_raw,en,generated_from_food_key
"cantaloupe, raw",cantaloupe_raw,en,generated_from_food_name
carrot,carrots_frozen,en,manual
carrots,carrots_frozen,en,manual
carrots frozen,carrots_frozen,en,generated_from_food_key
carrots raw,carrots_raw,en,generated_from_food_key
"carrots, frozen",carrots_frozen,en,generated_from_food_name
cereal,cereal_cornflakes,en,manual
cereal cornflakes,cereal_cornflakes,en,generated_from_food_key
cheddar,cheddar_cheese,en,manual
cheddar cheese,cheddar_cheese,en,generated_from_food_name
cheese sandwich,sandwich_cheese,en,manual
chicken biryani,biryani_chicken,en,manual
chicken breast,chicken_breast_cooked,en,manual
chicken breast cooked,chicken_breast_cooked,en,generated_from_food_key
chicken breast grilled,chicken_breast_grilled,en,generated_from_food_key
chicken breast skinless boneless,chicken_breast_cooked,en,auto_name
"chicken breast, skinless boneless",chicken_breast_cooked,en,generated_from_food_name
chicken drumstick,chicken_drumstick_cooked,en,auto_simplified
chicken drumstick cooked,chicken_drumstick_cooked,en,generated_from_food_key
"chicken drumstick, cooked",chicken_drumstick_cooked,en,generated_from_food_name
chicken fried,chicken_fried,en,generated_from_food_key
chicken kabsa,kabsa_chicken,en,manual
chicken mandi,mandi_chicken,en,manual
chicken nuggets,chicken_nuggets,en,manual
chicken shawarma,chicken_shawarma,en,manual
chicken shawarma wrap,shawarma_chicken,en,manual
chicken soup,soup_chicken,en,manual
chicken with rice,chicken_with_rice,en,manual
chickpeas,chickpeas_cooked,en,manual
chickpeas cooked,chickpeas_cooked,en,generated_from_food_key
chinese fried rice,fried_rice_chinese,en,manual
chips,potato_chips,en,manual
chocolate,chocolate_bar,en,manual
chocolate bar,chocolate_bar,en,manual
chocolate cake,cake_chocolate,en,manual
chocolate chip cookies,cookies_chocolate_chip,en,manual
chorizo pork,chorizo_pork,en,generated_from_food_key
"chorizo, pork",chorizo_pork,en,generated_from_food_name
coconut oil,coconut_oil,en,generated_from_food_name
cod,cod_baked,en,manual
cod baked,cod_baked,en,generated_from_food_key
coffee,coffee_black,en,manual
coffee black,coffee_black,en,generated_from_food_key
coffee milk sugar,coffee_milk_sugar,en,generated_from_food_key
coffee with milk,coffee_milk_sugar,en,manual
coffee with milk and sugar,coffee_milk_sugar,en,generated_from_food_name
coke,cola_regular,en,manual
cola,cola_regular,en,manual
cola diet,cola_diet,en,generated_from_food_key
cola regular,cola_regular,en,generated_from_food_name
cooked brown rice,rice_brown_cooked,en,manual
cooked chicken breast,chicken_breast_cooked,en,manual
cooked chickpeas,chickpeas_cooked,en,generated_from_food_name
cooked corn,corn_cooked,en,manual
cooked couscous,couscous_cooked,en,generated_from_food_name
cooked fish,grilled_fish,en,manual
cooked lamb shank,lamb_shank_cooked,en,manual
cooked lentils,lentils_cooked,en,manual
cooked oats,oats_cooked,en,manual
cooked pasta,pasta_cooked,en,manual
cooked peas,peas_cooked,en,manual
cooked quinoa,quinoa_cooked,en,generated_from_food_name
cooked rice,rice_white_cooked,en,manual
cooked shrimp,shrimp_cooked,en,manual
cooked white rice,rice_white_cooked,en,generated_from_food_name
cookies,oatmeal_raisin_cookies,en,manual
cookies chocolate chip,cookies_chocolate_chip,en,generated_from_food_key
corn,corn_cooked,en,manual
corn cooked,corn_cooked,en,generated_from_food_key
corn flour,flour_corn_yellow,en,manual
corn flour yellow,flour_corn_yellow,en,auto_name
"corn flour, yellow",flour_corn_yellow,en,generated_from_food_name
cornflakes,cereal_cornflakes,en,manual
cornflakes cereal,cereal_cornflakes,en,generated_from_food_name
cottage cheese,cottage_cheese_lowfat,en,manual
cottage cheese 2 percent,cottage_cheese_lowfat,en,auto_simplified
cottage cheese 2 percent lowfat,cottage_cheese_lowfat,en,auto_name
cottage cheese lowfat,cottage_cheese_lowfat,en,generated_from_food_key
"cottage cheese, 2% lowfat",cottage_cheese_lowfat,en,generated_from_food_name
couscous,couscous_cooked,en,manual
couscous cooked,couscous_cooked,en,generated_from_food_key
cream cheese,cream_cheese,en,manual
crisps,potato_chips,en,manual
cucumber,cucumber,en,manual
dark chocolate,dark_chocolate,en,manual
dates,dates,en,manual
deli ham,deli_ham,en,generated_from_food_key
deli ham sliced,deli_ham,en,auto_name
"deli ham, sliced",deli_ham,en,generated_from_food_name
deli turkey,turkey_slices,en,manual
diced tomatoes,diced_tomatoes_canned,en,auto_simplified
diced tomatoes canned,diced_tomatoes_canned,en,generated_from_food_key
"diced tomatoes, canned",diced_tomatoes_canned,en,generated_from_food_name
diet coke,cola_diet,en,manual
diet cola,cola_diet,en,manual
dill pickles,dill_pickles,en,generated_from_food_name
donut,donut_glazed,en,manual
donut glazed,donut_glazed,en,generated_from_food_key
dried fig,figs_dried,en,manual
dried figs,figs_dried,en,manual
egg,large_egg_whole,en,manual
egg white,egg_white_raw,en,auto_simplified
egg white dried,egg_white_dried,en,generated_from_food_key
egg white raw,egg_white_raw,en,generated_from_food_key
"egg white, dried",egg_white_dried,en,generated_from_food_name
"egg white, raw",egg_white_raw,en,generated_from_food_name
egg whole dried,egg_whole_dried,en,generated_from_food_key
egg whole raw,egg_whole_raw,en,generated_from_food_key
egg yolk,egg_yolk_raw,en,auto_simplified
egg yolk dried,egg_yolk_dried,en,generated_from_food_key
egg yolk raw,egg_yolk_raw,en,generated_from_food_key
"egg yolk, dried",egg_yolk_dried,en,generated_from_food_name
"egg yolk, raw",egg_yolk_raw,en,generated_from_food_name
"egg, whole, dried",egg_whole_dried,en,generated_from_food_name
"egg, whole, raw",egg_whole_raw,en,generated_from_food_name
egyptian bread,baladi_bread,en,manual
egyptian fatta,fatta_egyptian,en,manual
energy drink,energy_drink,en,manual
falafel,falafel,en,manual
falafel / taameya,falafel_taameya,en,generated_from_food_name
falafel egyptian,falafel_taameya,en,manual
falafel taameya,falafel_taameya,en,generated_from_food_key
fatta,fatta_egyptian,en,manual
fatta egyptian,fatta_egyptian,en,generated_from_food_key
fava beans,foul_medames,en,manual
feta cheese,feta_cheese,en,manual
fig,figs_dried,en,manual
figs dried,figs_dried,en,generated_from_food_key
"figs, dried",figs_dried,en,generated_from_food_name
firm tofu,tofu_firm,en,manual
fish,grilled_fish,en,manual
fish baked,fish_baked,en,generated_from_food_key
fish fried,fish_fried,en,generated_from_food_key
fish with rice,fish_with_rice,en,manual
flour ap bleached,flour_ap_bleached,en,generated_from_food_key
flour ap unbleached,flour_ap_unbleached,en,generated_from_food_key
flour ap unenriched,flour_ap_unenriched,en,generated_from_food_key
flour bread white,flour_bread_white,en,generated_from_food_key
flour corn yellow,flour_corn_yellow,en,generated_from_food_key
flour pastry,flour_pastry,en,generated_from_food_key
flour rice brown,flour_rice_brown,en,generated_from_food_key
flour rice glutinous,flour_rice_glutinous,en,generated_from_food_key
flour rice white,flour_rice_white,en,generated_from_food_key
flour soy defatted,flour_soy_defatted,en,generated_from_food_key
flour soy full fat,flour_soy_full_fat,en,generated_from_food_key
flour whole wheat,flour_whole_wheat,en,generated_from_food_key
foul,foul_medames,en,manual
foul medames,foul_medames,en,generated_from_food_name
french fries,french_fries,en,manual
fried calamari,calamari_fried,en,manual
fried chicken,chicken_fried,en,manual
fried chicken piece,fried_chicken_piece,en,manual
fried fish,fish_fried,en,manual
fried rice,fried_rice_chinese,en,manual
fried rice chinese,fried_rice_chinese,en,generated_from_food_key
fried rice no meat chinese,fried_rice_chinese,en,auto_name
"fried rice, no meat (chinese)",fried_rice_chinese,en,generated_from_food_name
fries,french_fries,en,manual
fruit smoothie,smoothie_fruit,en,manual
fruit yogurt,yogurt_fruit,en,manual
fuji apple,apple_fuji,en,manual
full fat milk,milk_whole,en,manual
gala apple,apple_gala,en,manual
garlic,garlic_raw,en,manual
garlic raw,garlic_raw,en,generated_from_food_key
"garlic, raw",garlic_raw,en,generated_from_food_name
glazed donut,donut_glazed,en,manual
glutinous rice flour,flour_rice_glutinous,en,generated_from_food_name
granny smith apple,apple_granny_smith,en,manual
granola bar,granola_bar,en,manual
granulated sugar,granulated_sugar,en,generated_from_food_name
grape tomato,tomatoes_grape,en,manual
grape tomatoes,tomatoes_grape,en,manual
grapefruit juice,grapefruit_juice,en,generated_from_food_name
grapes,grapes,en,manual
greek yogurt,greek_yogurt_plain,en,auto_simplified
greek yogurt plain,greek_yogurt_plain,en,generated_from_food_key
greek yogurt plain nonfat,greek_yogurt_plain,en,auto_name
greek yogurt strawberry,greek_yogurt_strawberry,en,generated_from_food_key
greek yogurt strawberry nonfat,greek_yogurt_strawberry,en,auto_name
"greek yogurt, plain nonfat",greek_yogurt_plain,en,generated_from_food_name
"greek yogurt, strawberry nonfat",greek_yogurt_strawberry,en,generated_from_food_name
green apple,apple_granny_smith,en,manual
green beans,green_beans_canned,en,auto_simplified
green beans canned,green_beans_canned,en,generated_from_food_key
"green beans, canned",green_beans_canned,en,generated_from_food_name
green olive,green_olives,en,manual
green olives,green_olives,en,generated_from_food_key
green olives stuffed,green_olives,en,auto_name
"green olives, stuffed",green_olives,en,generated_from_food_name
grilled beef kebab,beef_kebab,en,generated_from_food_name
grilled beef steak,beef_steak_grilled,en,generated_from_food_name
grilled chicken breast,chicken_breast_cooked,en,manual
grilled fish,grilled_fish,en,manual
grilled kebab,kebab_grilled,en,manual
grilled kofta,kofta_grilled,en,manual
grilled lamb,lamb_chop_grilled,en,manual
grilled lamb chop,lamb_chop_grilled,en,generated_from_food_name
grilled salmon,salmon_grilled,en,manual
grilled sea bass,sea_bass_grilled,en,manual
grilled steak,beef_steak_grilled,en,manual
grilled tilapia,tilapia_grilled,en,manual
ground turkey,ground_turkey_93_lean,en,manual
ground turkey 93 lean,ground_turkey_93_lean,en,generated_from_food_key
ground turkey 93 percent lean,ground_turkey_93_lean,en,auto_name
"ground turkey, 93% lean",ground_turkey_93_lean,en,generated_from_food_name
gummy candy,candy_gummy,en,manual
haddock,haddock_raw,en,manual
haddock raw,haddock_raw,en,generated_from_food_key
"haddock, raw",haddock_raw,en,generated_from_food_name
ham,deli_ham,en,manual
ham restaurant,ham_restaurant,en,generated_from_food_key
ham sliced restaurant,ham_restaurant,en,auto_name
"ham, sliced (restaurant)",ham_restaurant,en,generated_from_food_name
hamburger,burger_beef,en,manual
hawawshi,hawawshi,en,manual
honeycrisp apple,apple_honeycrisp,en,manual
hot dog,beef_hot_dog,en,manual
hummus,hummus,en,generated_from_food_name
ice cream,ice_cream_vanilla,en,manual
ice cream vanilla,ice_cream_vanilla,en,generated_from_food_key
italian pork sausage,italian_pork_sausage,en,generated_from_food_name
kabsa,kabsa_chicken,en,manual
kabsa chicken,kabsa_chicken,en,generated_from_food_key
kale,kale_raw,en,manual
kale frozen cooked,kale_frozen_cooked,en,generated_from_food_key
kale raw,kale_raw,en,generated_from_food_key
"kale, frozen cooked",kale_frozen_cooked,en,generated_from_food_name
"kale, raw",kale_raw,en,generated_from_food_name
kebab,kebab_grilled,en,manual
kebab grilled,kebab_grilled,en,generated_from_food_key
ketchup,ketchup,en,generated_from_food_name
kidney beans,beans_kidney,en,manual
kiwi,kiwi,en,manual
kiwi raw,kiwi_raw,en,generated_from_food_key
"kiwi, raw",kiwi_raw,en,generated_from_food_name
kofta,kofta_grilled,en,manual
kofta grilled,kofta_grilled,en,generated_from_food_key
koshari,koshari,en,manual
kunafa,kunafa,en,manual
kushari,koshari,en,manual
labneh,labneh,en,manual
lamb,roasted_lamb,en,manual
lamb chop,lamb_chop_grilled,en,manual
lamb chop grilled,lamb_chop_grilled,en,generated_from_food_key
lamb shank,lamb_shank_cooked,en,manual
lamb shank cooked,lamb_shank_cooked,en,generated_from_food_key
"lamb shank, cooked",lamb_shank_cooked,en,generated_from_food_name
lamb with rice,lamb_with_rice,en,manual
large egg,large_egg_whole,en,auto_simplified
large egg white,large_egg_white,en,generated_from_food_name
large egg whole,large_egg_whole,en,generated_from_food_key
large egg yolk,large_egg_yolk,en,generated_from_food_name
"large egg, whole",large_egg_whole,en,generated_from_food_name
lasagna,lasagna,en,manual
lean turkey,ground_turkey_93_lean,en,manual
lemonade,lemonade,en,manual
lentil soup,lentil_soup,en,manual
lentils,lentils_cooked,en,manual
lentils cooked,lentils_cooked,en,generated_from_food_key
lettuce,romaine_lettuce,en,manual
low fat milk,milk_1_percent,en,manual
macaroni bechamel,macaroni_bechamel,en,manual
mahshi,mahshi,en,manual
mandi,mandi_chicken,en,manual
mandi chicken,mandi_chicken,en,generated_from_food_key
mango,mango,en,manual
marinara,marinara_sauce,en,manual
marinara pasta sauce,marinara_sauce,en,generated_from_food_name
marinara sauce,marinara_sauce,en,generated_from_food_key
meat with rice,lamb_with_rice,en,manual
meatballs,meatballs,en,manual
milk 1 percent,milk_1_percent,en,generated_from_food_key
milk 1 percent lowfat,milk_1_percent,en,auto_name
milk 2 percent,milk_2_percent,en,generated_from_food_key
milk 2 percent reduced fat,milk_2_percent,en,auto_name
milk skim,milk_skim,en,generated_from_food_key
milk skim nonfat,milk_skim,en,auto_name
milk whole,milk_whole,en,generated_from_food_key
"milk, 1% lowfat",milk_1_percent,en,generated_from_food_name
"milk, 2% reduced fat",milk_2_percent,en,generated_from_food_name
"milk, skim (nonfat)",milk_skim,en,generated_from_food_name
"milk, whole",milk_whole,en,generated_from_food_name
mixed nuts,nuts_mixed,en,manual
mixed salad,mixed_salad,en,manual
molokhia,molokhia,en,manual
mozzarella,mozzarella_cheese,en,manual
mozzarella cheese,mozzarella_cheese,en,generated_from_food_key
mozzarella cheese part skim,mozzarella_cheese,en,auto_name
"mozzarella cheese, part-skim",mozzarella_cheese,en,generated_from_food_name
mustard,yellow_mustard,en,manual
nectarine,nectarines_raw,en,manual
nectarines,nectarines_raw,en,manual
nectarines raw,nectarines_raw,en,generated_from_food_key
"nectarines, raw",nectarines_raw,en,generated_from_food_name
nonfat milk,milk_skim,en,manual
nuggets,chicken_nuggets,en,manual
nuts,nuts_mixed,en,manual
nuts mixed,nuts_mixed,en,generated_from_food_key
oatmeal,oats_cooked,en,manual
oatmeal cookie,oatmeal_raisin_cookies,en,manual
oatmeal raisin cookie,oatmeal_raisin_cookies,en,manual
oatmeal raisin cookies,oatmeal_raisin_cookies,en,generated_from_food_name
oats,oats_cooked,en,manual
oats cooked,oats_cooked,en,generated_from_food_key
olive,green_olives,en,manual
olives,green_olives,en,manual
onion,yellow_onion_raw,en,manual
onion rings baked,onion_rings_baked,en,generated_from_food_key
onion rings frozen baked,onion_rings_baked,en,auto_name
"onion rings, frozen baked",onion_rings_baked,en,generated_from_food_name
orange,orange,en,manual
orange juice,orange_juice,en,manual
oranges,oranges_raw,en,manual
oranges raw,oranges_raw,en,generated_from_food_key
"oranges, raw",oranges_raw,en,generated_from_food_name
overripe banana,banana_overripe,en,manual
parmesan,parmesan_cheese,en,manual
parmesan cheese,parmesan_cheese,en,generated_from_food_key
parmesan cheese grated,parmesan_cheese,en,auto_name
"parmesan cheese, grated",parmesan_cheese,en,generated_from_food_name
pasta,pasta_cooked,en,manual
pasta alfredo,pasta_alfredo,en,manual
pasta cooked,pasta_cooked,en,generated_from_food_key
pastry flour,flour_pastry,en,generated_from_food_name
peach,peaches_raw,en,manual
peaches,peaches_raw,en,manual
peaches raw,peaches_raw,en,generated_from_food_key
"peaches, raw",peaches_raw,en,generated_from_food_name
peanut butter,peanut_butter,en,generated_from_food_key
peanut butter smooth,peanut_butter,en,auto_name
"peanut butter, smooth",peanut_butter,en,generated_from_food_name
peanuts,peanuts,en,manual
pear,pear,en,manual
pears,pears_raw,en,manual
pears raw,pears_raw,en,generated_from_food_key
"pears, raw",pears_raw,en,generated_from_food_name
peas,peas_cooked,en,manual
peas cooked,peas_cooked,en,generated_from_food_key
pickle,dill_pickles,en,manual
pickles,dill_pickles,en,manual
pineapple,pineapple,en,manual
pita,pita_bread,en,manual
pita bread,pita_bread,en,manual
pizza,pizza_slice,en,manual
pizza slice,pizza_slice,en,manual
