food_key,image_lookup_allowed,recommendation_allowed,plan_allowed,safety_review_status,plan_role,notes
broccoli_steamed,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
burger_beef,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cake_chocolate,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
calamari_fried,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
candy_gummy,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cantaloupe_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
carrots_frozen,True,True,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
carrots_raw,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cereal_cornflakes,True,False,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cheddar_cheese,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chicken_breast_cooked,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chicken_breast_grilled,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chicken_drumstick_cooked,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chicken_fried,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chicken_nuggets,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chicken_shawarma,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chicken_with_rice,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
chickpeas_cooked,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chocolate_bar,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
chorizo_pork,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
coconut_oil,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cod_baked,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
coffee_black,True,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
coffee_milk_sugar,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cola_diet,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cola_regular,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cookies_chocolate_chip,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
corn_cooked,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cottage_cheese_lowfat,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
couscous_cooked,True,False,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cream_cheese,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
cucumber,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
dark_chocolate,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
dates,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
deli_ham,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
diced_tomatoes_canned,True,True,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
dill_pickles,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
donut_glazed,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
egg_white_dried,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
egg_white_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
egg_whole_dried,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
egg_whole_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
egg_yolk_dried,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
egg_yolk_raw,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
energy_drink,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
falafel,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
falafel_taameya,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
fatta_egyptian,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
feta_cheese,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
figs_dried,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
fish_baked,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
fish_fried,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
fish_with_rice,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
flour_ap_bleached,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_ap_unbleached,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_ap_unenriched,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_bread_white,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_corn_yellow,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_pastry,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_rice_brown,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_rice_glutinous,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_rice_white,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_soy_defatted,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_soy_full_fat,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
flour_whole_wheat,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
foul_medames,True,True,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
french_fries,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
fried_chicken_piece,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
fried_rice_chinese,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
garlic_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
granola_bar,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
granulated_sugar,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
grapefruit_juice,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
grapes,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
greek_yogurt_plain,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
greek_yogurt_strawberry,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
green_beans_canned,True,True,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
green_olives,True,True,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
grilled_fish,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
ground_turkey_93_lean,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
haddock_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
ham_restaurant,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
hawawshi,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
hot_dog,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
hummus,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
ice_cream_vanilla,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
italian_pork_sausage,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
kabsa_chicken,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
kale_frozen_cooked,True,True,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
kale_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
kebab_grilled,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
ketchup,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
kiwi,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
kiwi_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
kofta_grilled,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
koshari,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
kunafa,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
labneh,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
lamb_chop_grilled,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
lamb_shank_cooked,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,protein_source,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
lamb_with_rice,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
large_egg_white,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
large_egg_whole,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
large_egg_yolk,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
lasagna,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
lemonade,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
lentil_soup,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
lentils_cooked,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
lettuce,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
macaroni_bechamel,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
mahshi,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
mandi_chicken,True,False,False,IMAGE_LOOKUP_ONLY_REVIEW_REQUIRED,mixed_meal,New common prepared-food average added for image/text lookup only; review source and safety rules before enabling recommendations or plans.
mango,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
marinara_sauce,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
meatballs,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
milk_1_percent,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
milk_2_percent,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
milk_skim,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
milk_whole,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
mixed_salad,True,True,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
molokhia,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
mozzarella_cheese,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
nectarines_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
nuts_mixed,True,True,True,CURATED_EXISTING_DATASET,healthy_fat_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
oatmeal_raisin_cookies,True,False,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
oats_cooked,True,True,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
onion_rings_baked,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
orange,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
orange_juice,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
oranges_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
parmesan_cheese,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pasta_alfredo,True,False,True,CURATED_EXISTING_DATASET,mixed_meal,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pasta_cooked,True,True,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
peaches_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
peanut_butter,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
peanuts,True,False,True,CURATED_EXISTING_DATASET,healthy_fat_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pear,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pears_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
peas_cooked,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pineapple,True,False,True,CURATED_EXISTING_DATASET,fruit_snack,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pita_bread,True,False,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pizza_slice,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pollock_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
popcorn_butter,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
popcorn_plain,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
pork_tamale,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
porterhouse_steak,False,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
potato_baked,True,False,True,CURATED_EXISTING_DATASET,vegetable_side,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
potato_chips,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
queso_seco,True,False,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
quinoa_cooked,True,False,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
red_onion_raw,False,True,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
rice_brown_cooked,True,False,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
rice_pudding,True,False,False,CURATED_EXISTING_DATASET,not_for_plan,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
rice_white_cooked,True,True,True,CURATED_EXISTING_DATASET,carb_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
ricotta_cheese,True,True,True,CURATED_EXISTING_DATASET,protein_source,Existing Mazaj+ dataset item. Nutrition source reference was not preserved in the supplied files.
