portion_key,food_key,portion_name,grams,is_reference_portion,portion_note
biryani_chicken_100g,biryani_chicken,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
blueberries_100g,blueberries,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
boiled_egg_100g,boiled_egg,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
bread_white_100g,bread_white,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
bread_whole_wheat_100g,bread_whole_wheat,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
broccoli_raw_100g,broccoli_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
broccoli_steamed_100g,broccoli_steamed,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
burger_beef_100g,burger_beef,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cake_chocolate_100g,cake_chocolate,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
calamari_fried_100g,calamari_fried,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
candy_gummy_100g,candy_gummy,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cantaloupe_raw_100g,cantaloupe_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
carrots_frozen_100g,carrots_frozen,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
carrots_raw_100g,carrots_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cereal_cornflakes_100g,cereal_cornflakes,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cheddar_cheese_100g,cheddar_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chicken_breast_cooked_100g,chicken_breast_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chicken_breast_grilled_100g,chicken_breast_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chicken_drumstick_cooked_100g,chicken_drumstick_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chicken_fried_100g,chicken_fried,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chicken_nuggets_100g,chicken_nuggets,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chicken_shawarma_100g,chicken_shawarma,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chicken_with_rice_100g,chicken_with_rice,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chickpeas_cooked_100g,chickpeas_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chocolate_bar_100g,chocolate_bar,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
chorizo_pork_100g,chorizo_pork,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
coconut_oil_100g,coconut_oil,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cod_baked_100g,cod_baked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
coffee_black_100g,coffee_black,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
coffee_milk_sugar_100g,coffee_milk_sugar,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cola_diet_100g,cola_diet,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cola_regular_100g,cola_regular,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cookies_chocolate_chip_100g,cookies_chocolate_chip,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
corn_cooked_100g,corn_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cottage_cheese_lowfat_100g,cottage_cheese_lowfat,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
couscous_cooked_100g,couscous_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cream_cheese_100g,cream_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
cucumber_100g,cucumber,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
dark_chocolate_100g,dark_chocolate,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
dates_100g,dates,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
deli_ham_100g,deli_ham,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
diced_tomatoes_canned_100g,diced_tomatoes_canned,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
dill_pickles_100g,dill_pickles,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
donut_glazed_100g,donut_glazed,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
egg_white_dried_100g,egg_white_dried,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
egg_white_raw_100g,egg_white_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
egg_whole_dried_100g,egg_whole_dried,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
egg_whole_raw_100g,egg_whole_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
egg_yolk_dried_100g,egg_yolk_dried,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
egg_yolk_raw_100g,egg_yolk_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
energy_drink_100g,energy_drink,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
falafel_100g,falafel,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
falafel_taameya_100g,falafel_taameya,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
fatta_egyptian_100g,fatta_egyptian,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
feta_cheese_100g,feta_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
figs_dried_100g,figs_dried,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
fish_baked_100g,fish_baked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
fish_fried_100g,fish_fried,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
fish_with_rice_100g,fish_with_rice,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_ap_bleached_100g,flour_ap_bleached,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_ap_unbleached_100g,flour_ap_unbleached,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_ap_unenriched_100g,flour_ap_unenriched,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_bread_white_100g,flour_bread_white,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_corn_yellow_100g,flour_corn_yellow,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_pastry_100g,flour_pastry,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_rice_brown_100g,flour_rice_brown,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_rice_glutinous_100g,flour_rice_glutinous,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_rice_white_100g,flour_rice_white,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_soy_defatted_100g,flour_soy_defatted,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_soy_full_fat_100g,flour_soy_full_fat,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
flour_whole_wheat_100g,flour_whole_wheat,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
foul_medames_100g,foul_medames,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
french_fries_100g,french_fries,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
fried_chicken_piece_100g,fried_chicken_piece,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
fried_rice_chinese_100g,fried_rice_chinese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
garlic_raw_100g,garlic_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
granola_bar_100g,granola_bar,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
granulated_sugar_100g,granulated_sugar,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
grapefruit_juice_100g,grapefruit_juice,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
grapes_100g,grapes,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
greek_yogurt_plain_100g,greek_yogurt_plain,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
greek_yogurt_strawberry_100g,greek_yogurt_strawberry,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
green_beans_canned_100g,green_beans_canned,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
green_olives_100g,green_olives,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
grilled_fish_100g,grilled_fish,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
ground_turkey_93_lean_100g,ground_turkey_93_lean,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
haddock_raw_100g,haddock_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
ham_restaurant_100g,ham_restaurant,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
hawawshi_100g,hawawshi,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
hot_dog_100g,hot_dog,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
hummus_100g,hummus,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
ice_cream_vanilla_100g,ice_cream_vanilla,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
italian_pork_sausage_100g,italian_pork_sausage,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kabsa_chicken_100g,kabsa_chicken,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kale_frozen_cooked_100g,kale_frozen_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kale_raw_100g,kale_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kebab_grilled_100g,kebab_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
ketchup_100g,ketchup,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kiwi_100g,kiwi,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kiwi_raw_100g,kiwi_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kofta_grilled_100g,kofta_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
koshari_100g,koshari,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
kunafa_100g,kunafa,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
labneh_100g,labneh,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lamb_chop_grilled_100g,lamb_chop_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lamb_shank_cooked_100g,lamb_shank_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lamb_with_rice_100g,lamb_with_rice,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
large_egg_white_100g,large_egg_white,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
large_egg_whole_100g,large_egg_whole,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
large_egg_yolk_100g,large_egg_yolk,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lasagna_100g,lasagna,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lemonade_100g,lemonade,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lentil_soup_100g,lentil_soup,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lentils_cooked_100g,lentils_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
lettuce_100g,lettuce,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
macaroni_bechamel_100g,macaroni_bechamel,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
mahshi_100g,mahshi,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
mandi_chicken_100g,mandi_chicken,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
mango_100g,mango,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
marinara_sauce_100g,marinara_sauce,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
meatballs_100g,meatballs,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
milk_1_percent_100g,milk_1_percent,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
milk_2_percent_100g,milk_2_percent,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
milk_skim_100g,milk_skim,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
milk_whole_100g,milk_whole,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
mixed_salad_100g,mixed_salad,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
molokhia_100g,molokhia,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
mozzarella_cheese_100g,mozzarella_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
nectarines_raw_100g,nectarines_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
nuts_mixed_100g,nuts_mixed,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
oatmeal_raisin_cookies_100g,oatmeal_raisin_cookies,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
oats_cooked_100g,oats_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
onion_rings_baked_100g,onion_rings_baked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
orange_100g,orange,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
orange_juice_100g,orange_juice,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
oranges_raw_100g,oranges_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
parmesan_cheese_100g,parmesan_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pasta_alfredo_100g,pasta_alfredo,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pasta_cooked_100g,pasta_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
peaches_raw_100g,peaches_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
peanut_butter_100g,peanut_butter,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
peanuts_100g,peanuts,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pear_100g,pear,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pears_raw_100g,pears_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
peas_cooked_100g,peas_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pineapple_100g,pineapple,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pita_bread_100g,pita_bread,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pizza_slice_100g,pizza_slice,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pollock_raw_100g,pollock_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
popcorn_butter_100g,popcorn_butter,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
popcorn_plain_100g,popcorn_plain,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
pork_tamale_100g,pork_tamale,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
porterhouse_steak_100g,porterhouse_steak,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
potato_baked_100g,potato_baked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
potato_chips_100g,potato_chips,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
queso_seco_100g,queso_seco,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
quinoa_cooked_100g,quinoa_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
red_onion_raw_100g,red_onion_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
rice_brown_cooked_100g,rice_brown_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
rice_pudding_100g,rice_pudding,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
rice_white_cooked_100g,rice_white_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
ricotta_cheese_100g,ricotta_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
roasted_lamb_100g,roasted_lamb,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
romaine_lettuce_100g,romaine_lettuce,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
salmon_grilled_100g,salmon_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
salsa_100g,salsa,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sandwich_cheese_100g,sandwich_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sandwich_turkey_100g,sandwich_turkey,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sardines_canned_100g,sardines_canned,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sausage_beef_100g,sausage_beef,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
scrambled_egg_100g,scrambled_egg,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sea_bass_grilled_100g,sea_bass_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
shawarma_chicken_100g,shawarma_chicken,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
shrimp_cooked_100g,shrimp_cooked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
smoothie_fruit_100g,smoothie_fruit,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
soup_chicken_100g,soup_chicken,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
spaghetti_tomato_sauce_100g,spaghetti_tomato_sauce,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sparkling_water_100g,sparkling_water,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
spinach_100g,spinach,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sports_drink_100g,sports_drink,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
strawberries_100g,strawberries,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
strawberries_raw_100g,strawberries_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sunflower_seeds_100g,sunflower_seeds,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sweet_potato_baked_100g,sweet_potato_baked,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
sweet_sour_pork_100g,sweet_sour_pork,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
swiss_cheese_100g,swiss_cheese,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tbone_steak_grilled_100g,tbone_steak_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tea_sweetened_100g,tea_sweetened,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tea_unsweetened_100g,tea_unsweetened,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tilapia_grilled_100g,tilapia_grilled,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tofu_firm_100g,tofu_firm,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tomato_100g,tomato,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tomatoes_grape_100g,tomatoes_grape,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tortilla_wrap_100g,tortilla_wrap,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
tuna_canned_100g,tuna_canned,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
turkey_breakfast_sausage_100g,turkey_breakfast_sausage,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
turkey_slices_100g,turkey_slices,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
veggie_burger_100g,veggie_burger,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
water_100g,water,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
watermelon_100g,watermelon,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
white_onion_raw_100g,white_onion_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
yellow_mustard_100g,yellow_mustard,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
yellow_onion_raw_100g,yellow_onion_raw,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
yogurt_fruit_100g,yogurt_fruit,100 g,100,True,Reference portion only. The system must not estimate image portion size automatically.
fndds_goat_milk_100g,fndds_goat_milk,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_buttermilk_100g,fndds_buttermilk,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_evaporated_whole_100g,fndds_milk_evaporated_whole,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_lactose_free_whole_100g,fndds_milk_lactose_free_whole,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_reduced_fat_2_100g,fndds_milk_reduced_fat_2,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_evaporated_reduced_fat_2_100g,fndds_milk_evaporated_reduced_fat_2,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_lactose_free_reduced_fat_2_100g,fndds_milk_lactose_free_reduced_fat_2,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_kefir_100g,fndds_kefir,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_low_fat_1_100g,fndds_milk_low_fat_1,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_lactose_free_low_fat_1_100g,fndds_milk_lactose_free_low_fat_1,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_fat_free_skim_100g,fndds_milk_fat_free_skim,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_dry_reconstituted_nonfat_100g,fndds_milk_dry_reconstituted_nonfat,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_evaporated_fat_free_skim_100g,fndds_milk_evaporated_fat_free_skim,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_lactose_free_fat_free_skim_100g,fndds_milk_lactose_free_fat_free_skim,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_strawberry_milk_whole_100g,fndds_strawberry_milk_whole,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_whole_100g,fndds_chocolate_milk_whole,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_condensed_sweetened_100g,fndds_milk_condensed_sweetened,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_reduced_sugar_whole_100g,fndds_chocolate_milk_reduced_sugar_whole,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_malted_100g,fndds_milk_malted,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_strawberry_milk_reduced_fat_2_100g,fndds_strawberry_milk_reduced_fat_2,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_reduced_fat_2_100g,fndds_chocolate_milk_reduced_fat_2,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_hot_chocolate_cocoa_with_whipped_cream_100g,fndds_hot_chocolate_cocoa_with_whipped_cream,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_reduced_sugar_reduced_fat_2_100g,fndds_chocolate_milk_reduced_sugar_reduced_fat_2,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_strawberry_milk_reduced_sugar_100g,fndds_strawberry_milk_reduced_sugar,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_strawberry_milk_low_fat_1_100g,fndds_strawberry_milk_low_fat_1,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_low_fat_1_100g,fndds_chocolate_milk_low_fat_1,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_reduced_sugar_low_fat_1_100g,fndds_chocolate_milk_reduced_sugar_low_fat_1,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_strawberry_milk_fat_free_skim_100g,fndds_strawberry_milk_fat_free_skim,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_fat_free_skim_100g,fndds_chocolate_milk_fat_free_skim,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_hot_chocolate_cocoa_dry_mix_made_with_water_100g,fndds_hot_chocolate_cocoa_dry_mix_made_with_water,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_chocolate_milk_reduced_sugar_fat_free_skim_100g,fndds_chocolate_milk_reduced_sugar_fat_free_skim,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_hot_chocolate_cocoa_dry_mix_reduced_sugar_made_with_water_100g,fndds_hot_chocolate_cocoa_dry_mix_reduced_sugar_made_with_water,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_eggnog_100g,fndds_eggnog,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
fndds_milk_shake_with_malt_100g,fndds_milk_shake_with_malt,100 g,100,True,Reference portion matching the stored per-100g nutrition basis.
